agent-type,agent-id,triadstack,tick
basic-agents,B-ID-30,[[Oil -1 TS-B-ID-30-T-ID-1] [Trade 2 TS-B-ID-30-T-ID-2] [Persec 1.3 TS-B-ID-30-T-ID-3] [Oil 1 TS-B-ID-30-T-ID-4] [Oil -2 TS-B-ID-30-T-ID-5] [Oil -1.5 TS-B-ID-30-T-ID-6]],0
basic-agents,B-ID-31,[[Oil -1 TS-B-ID-31-T-ID-1] [Trade 2 TS-B-ID-31-T-ID-2] [Persec 1.3 TS-B-ID-31-T-ID-3] [Oil 1 TS-B-ID-31-T-ID-4] [Oil -2 TS-B-ID-31-T-ID-5] [Oil -1.5 TS-B-ID-31-T-ID-6]],0
basic-agents,B-ID-32,[[Oil -1 TS-B-ID-32-T-ID-1] [Trade 2 TS-B-ID-32-T-ID-2] [Persec 1.3 TS-B-ID-32-T-ID-3] [Oil 1 TS-B-ID-32-T-ID-4] [Oil -2 TS-B-ID-32-T-ID-5] [Oil -1.5 TS-B-ID-32-T-ID-6]],0
basic-agents,B-ID-33,[[Oil -1 TS-B-ID-33-T-ID-1] [Trade 2 TS-B-ID-33-T-ID-2] [Persec 1.3 TS-B-ID-33-T-ID-3] [Oil 1 TS-B-ID-33-T-ID-4] [Oil -2 TS-B-ID-33-T-ID-5] [Oil -1.5 TS-B-ID-33-T-ID-6]],0
basic-agents,B-ID-34,[[Oil -1 TS-B-ID-34-T-ID-1] [Trade 2 TS-B-ID-34-T-ID-2] [Persec 1.3 TS-B-ID-34-T-ID-3] [Oil 1 TS-B-ID-34-T-ID-4] [Oil -2 TS-B-ID-34-T-ID-5] [Oil -1.5 TS-B-ID-34-T-ID-6]],0
basic-agents,B-ID-35,[[Oil -1 TS-B-ID-35-T-ID-1] [Trade 2 TS-B-ID-35-T-ID-2] [Persec 1.3 TS-B-ID-35-T-ID-3] [Oil 1 TS-B-ID-35-T-ID-4] [Oil -2 TS-B-ID-35-T-ID-5] [Oil -1.5 TS-B-ID-35-T-ID-6]],0
basic-agents,B-ID-36,[[Oil -1 TS-B-ID-36-T-ID-1] [Trade 2 TS-B-ID-36-T-ID-2] [Persec 1.3 TS-B-ID-36-T-ID-3] [Oil 1 TS-B-ID-36-T-ID-4] [Oil -2 TS-B-ID-36-T-ID-5] [Oil -1.5 TS-B-ID-36-T-ID-6]],0
basic-agents,B-ID-37,[[Oil -1 TS-B-ID-37-T-ID-1] [Trade 2 TS-B-ID-37-T-ID-2] [Persec 1.3 TS-B-ID-37-T-ID-3] [Oil 1 TS-B-ID-37-T-ID-4] [Oil -2 TS-B-ID-37-T-ID-5] [Oil -1.5 TS-B-ID-37-T-ID-6]],0
basic-agents,B-ID-38,[[Oil -1 TS-B-ID-38-T-ID-1] [Trade 2 TS-B-ID-38-T-ID-2] [Persec 1.3 TS-B-ID-38-T-ID-3] [Oil 1 TS-B-ID-38-T-ID-4] [Oil -2 TS-B-ID-38-T-ID-5] [Oil -1.5 TS-B-ID-38-T-ID-6]],0
basic-agents,B-ID-39,[[Oil -1 TS-B-ID-39-T-ID-1] [Trade 2 TS-B-ID-39-T-ID-2] [Persec 1.3 TS-B-ID-39-T-ID-3] [Oil 1 TS-B-ID-39-T-ID-4] [Oil -2 TS-B-ID-39-T-ID-5] [Oil -1.5 TS-B-ID-39-T-ID-6]],0
basic-agents,B-ID-40,[[Oil -1 TS-B-ID-40-T-ID-1] [Trade 2 TS-B-ID-40-T-ID-2] [Persec 1.3 TS-B-ID-40-T-ID-3] [Oil 1 TS-B-ID-40-T-ID-4] [Oil -2 TS-B-ID-40-T-ID-5] [Oil -1.5 TS-B-ID-40-T-ID-6]],0
basic-agents,B-ID-41,[[Oil -1 TS-B-ID-41-T-ID-1] [Trade 2 TS-B-ID-41-T-ID-2] [Persec 1.3 TS-B-ID-41-T-ID-3] [Oil 1 TS-B-ID-41-T-ID-4] [Oil -2 TS-B-ID-41-T-ID-5] [Oil -1.5 TS-B-ID-41-T-ID-6]],0
basic-agents,B-ID-42,[[Oil -1 TS-B-ID-42-T-ID-1] [Trade 2 TS-B-ID-42-T-ID-2] [Persec 1.3 TS-B-ID-42-T-ID-3] [Oil 1 TS-B-ID-42-T-ID-4] [Oil -2 TS-B-ID-42-T-ID-5] [Oil -1.5 TS-B-ID-42-T-ID-6]],0
basic-agents,B-ID-43,[[Oil -1 TS-B-ID-43-T-ID-1] [Trade 2 TS-B-ID-43-T-ID-2] [Persec 1.3 TS-B-ID-43-T-ID-3] [Oil 1 TS-B-ID-43-T-ID-4] [Oil -2 TS-B-ID-43-T-ID-5] [Oil -1.5 TS-B-ID-43-T-ID-6]],0
basic-agents,B-ID-44,[[Oil -1 TS-B-ID-44-T-ID-1] [Trade 2 TS-B-ID-44-T-ID-2] [Persec 1.3 TS-B-ID-44-T-ID-3] [Oil 1 TS-B-ID-44-T-ID-4] [Oil -2 TS-B-ID-44-T-ID-5] [Oil -1.5 TS-B-ID-44-T-ID-6]],0
basic-agents,B-ID-45,[[Oil -1 TS-B-ID-45-T-ID-1] [Trade 2 TS-B-ID-45-T-ID-2] [Persec 1.3 TS-B-ID-45-T-ID-3] [Oil 1 TS-B-ID-45-T-ID-4] [Oil -2 TS-B-ID-45-T-ID-5] [Oil -1.5 TS-B-ID-45-T-ID-6]],0
